Freq (GHz), S11 Mag (dB), S11 Phase (deg), S12 Mag (dB), S12 Phase (deg), S21 Mag (dB), S21 Phase (deg), S22 Mag (dB), S22 Phase (deg)
1.010000000000000009e+00,-5.898926000000000336e+00,-4.603515999999999764e+01,-2.779492000000000118e+01,2.135448999999999842e+01,-2.780077999999999960e+01,-2.042114000000000207e+00,-4.938476999999999784e+00,-1.032147999999999968e+02
1.019950248756218869e+00,-5.878662000000000276e+00,-6.430078000000000316e+01,-2.766210999999999842e+01,8.374022999999999328e+00,-2.764648000000000039e+01,-1.506104000000000021e+01,-4.977539000000000158e+00,-1.106367000000000047e+02
1.029900497512437729e+00,-5.929687999999999626e+00,-8.262890000000000157e+01,-2.752929999999999922e+01,-4.376708999999999961e+00,-2.743554999999999922e+01,-2.812012000000000000e+01,-4.960205000000000197e+00,-1.182733999999999952e+02
1.039850746268656589e+00,-5.974853999999999665e+00,-1.016328000000000031e+02,-2.730370999999999881e+01,-1.759277000000000157e+01,-2.724120999999999881e+01,-4.139844000000000079e+01,-4.947753999999999763e+00,-1.262852000000000032e+02
1.049800995024875450e+00,-5.962646000000000335e+00,-1.213710999999999984e+02,-2.709178999999999959e+01,-3.096094000000000079e+01,-2.696386000000000038e+01,-5.508594000000000079e+01,-4.985107000000000177e+00,-1.335312000000000126e+02
1.059751243781094310e+00,-6.042724999999999902e+00,-1.417656000000000063e+02,-2.683007999999999882e+01,-4.444140000000000157e+01,-2.675975999999999999e+01,-6.886718999999999369e+01,-5.016112999999999822e+00,-1.415468999999999937e+02
1.069701492537313170e+00,-6.119385000000000296e+00,-1.623515999999999906e+02,-2.658886000000000038e+01,-5.824412999999999840e+01,-2.654393999999999920e+01,-8.247265000000000157e+01,-5.001953000000000316e+00,-1.486875000000000000e+02
1.079651741293532030e+00,-6.221680000000000099e+00,1.762421999999999969e+02,-2.630176000000000158e+01,-7.190233999999999526e+01,-2.628320000000000078e+01,-9.656250000000000000e+01,-4.973876999999999882e+00,-1.561562999999999874e+02
1.089601990049750890e+00,-6.279296999999999684e+00,1.544921999999999969e+02,-2.599120999999999881e+01,-8.657420999999999367e+01,-2.610058000000000078e+01,-1.109727000000000032e+02,-4.981444999999999901e+00,-1.640312000000000126e+02
1.099552238805969751e+00,-6.344482000000000177e+00,1.325312000000000126e+02,-2.585350999999999999e+01,-1.014414000000000016e+02,-2.596289000000000158e+01,-1.248007999999999953e+02,-4.986328000000000316e+00,-1.715546999999999969e+02
1.109502487562188611e+00,-6.344726999999999784e+00,1.103397999999999968e+02,-2.575195000000000078e+01,-1.163828000000000031e+02,-2.582811999999999841e+01,-1.391953000000000031e+02,-4.937500000000000000e+00,-1.788281000000000063e+02
