Freq (Hz), Test Phi (deg), Test Theta (deg), Probe Phi (deg), S11 (db), S11 (deg), S12 (db), S12 (deg), S21 (db), S21 (deg), S22 (db), S22 (deg)
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.400000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-3.235352000000000317e+01,-7.148828000000000316e+01,-2.520214999999999961e+01,2.082519999999999882e+01,-2.256053999999999959e+01,-3.207421999999999684e+01,-2.667285000000000039e+01,-1.000156000000000063e+02
1.523000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-3.056054999999999922e+01,-1.475312000000000126e+02,-2.362304999999999922e+01,-4.998241000000000156e+01,-2.206542999999999921e+01,-1.029140000000000015e+02,-2.551464999999999961e+01,1.598593999999999937e+02
1.646000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.581054999999999922e+01,1.561250000000000000e+02,-2.221386000000000038e+01,-1.202694999999999936e+02,-2.158886000000000038e+01,-1.727578000000000031e+02,-2.474902000000000157e+01,6.173046000000000078e+01
1.769000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.333690999999999960e+01,1.181093999999999937e+02,-2.112108999999999881e+01,1.626328000000000031e+02,-2.110155999999999921e+01,1.163750000000000000e+02,-2.404198999999999842e+01,-3.680469000000000079e+01
1.892000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.217089999999999961e+01,7.868358999999999526e+01,-2.113475999999999999e+01,8.367579000000000633e+01,-2.086132999999999882e+01,4.617772999999999683e+01,-2.322266000000000119e+01,-1.347968999999999937e+02
2.015000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.160058000000000078e+01,4.020897999999999683e+01,-2.159570000000000078e+01,1.134570000000000078e+01,-2.049804999999999922e+01,-2.307422000000000040e+01,-2.239745999999999881e+01,1.291718999999999937e+02
2.138000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.171875000000000000e+01,2.231567000000000078e+00,-2.232323999999999842e+01,-5.537109000000000236e+01,-1.999315999999999960e+01,-9.403906000000000631e+01,-2.153905999999999921e+01,2.967676000000000158e+01
2.261000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.110351999999999961e+01,-3.980272999999999683e+01,-2.202637000000000000e+01,-1.248007999999999953e+02,-1.995898000000000039e+01,-1.648437999999999874e+02,-2.085643999999999920e+01,-7.383593999999999369e+01
2.384000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.072363000000000000e+01,-8.201171999999999684e+01,-2.192577999999999960e+01,1.726406000000000063e+02,-1.988280999999999921e+01,1.270664000000000016e+02,-2.013475999999999999e+01,-1.729453000000000031e+02
2.507000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.987792999999999921e+01,-1.232694999999999936e+02,-1.938672000000000040e+01,1.031132999999999953e+02,-1.929492000000000118e+01,5.896092999999999762e+01,-1.937597999999999843e+01,8.929295999999999367e+01
2.630000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.891405999999999921e+01,-1.630703000000000031e+02,-1.883007999999999882e+01,3.105469000000000079e+01,-1.894238000000000000e+01,-1.180077999999999960e+01,-1.921190999999999960e+01,-1.196582000000000079e+01
2.753000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.800976999999999961e+01,1.546718999999999937e+02,-1.834082000000000079e+01,-4.081054999999999922e+01,-1.879492000000000118e+01,-8.105859999999999843e+01,-1.886132999999999882e+01,-1.083867000000000047e+02
2.876000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.765039000000000158e+01,1.125585999999999984e+02,-1.782910000000000039e+01,-1.145742000000000047e+02,-1.834570000000000078e+01,-1.502421999999999969e+02,-1.819335999999999842e+01,1.567031000000000063e+02
2.999000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.752148000000000039e+01,7.449608999999999526e+01,-1.783495999999999881e+01,1.718281000000000063e+02,-1.801269999999999882e+01,1.389218999999999937e+02,-1.809082000000000079e+01,5.690429999999999922e+01
3.122000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.719042999999999921e+01,3.644140000000000157e+01,-1.828027000000000157e+01,1.014882999999999953e+02,-1.800683000000000078e+01,6.863670999999999367e+01,-1.778222999999999843e+01,-4.706835999999999842e+01
3.245000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.693262000000000000e+01,-2.616210999999999842e+00,-1.854297000000000040e+01,3.358984000000000236e+01,-1.793457000000000079e+01,-5.905151000000000150e-02,-1.698926000000000158e+01,-1.470781000000000063e+02
3.368000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.666797000000000040e+01,-4.411328000000000316e+01,-1.840527000000000157e+01,-3.209179000000000315e+01,-1.760155999999999921e+01,-6.798436999999999841e+01,-1.660448999999999842e+01,1.188789000000000016e+02
3.491000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.679492000000000118e+01,-8.469141000000000474e+01,-1.775097999999999843e+01,-9.890233999999999526e+01,-1.715233999999999881e+01,-1.376093999999999937e+02,-1.671190999999999960e+01,2.134277000000000157e+01
3.614000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.680957000000000079e+01,-1.248203000000000031e+02,-1.709179999999999922e+01,-1.683515999999999906e+02,-1.687792999999999921e+01,1.514609000000000094e+02,-1.644140000000000157e+01,-8.228906999999999528e+01
